                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.1088,                 1.1187,                 1.1892,                0.73251,                0.58088,                0.66605,                0.46432,                 1.1529,                 1.0687,                 1.1806,              0.0006337,              0.0006337,              0.0006337
                     76,                 1.1113,                 1.1252,                 1.1923,                0.72717,                0.58505,                0.66705,                0.46393,                 1.1526,                 1.0678,                 1.1803,             0.00062875,             0.00062875,             0.00062875
                     77,                   1.11,                 1.1236,                 1.1942,                0.72807,                  0.586,                0.66762,                0.46436,                 1.1522,                 1.0671,                 1.1803,              0.0006238,              0.0006238,              0.0006238
                     78,                 1.0999,                  1.115,                 1.1897,                 0.7279,                0.58695,                0.66834,                0.46465,                 1.1517,                 1.0656,                 1.1798,             0.00061885,             0.00061885,             0.00061885
                     79,                 1.1061,                 1.1152,                 1.1865,                0.73359,                0.58377,                0.66889,                0.46534,                 1.1521,                 1.0642,                 1.1796,              0.0006139,              0.0006139,              0.0006139
                     80,                 1.0978,                 1.1087,                 1.1839,                  0.735,                0.58426,                0.66932,                0.46555,                 1.1517,                 1.0637,                 1.1791,             0.00060895,             0.00060895,             0.00060895
                     81,                 1.0987,                 1.1093,                 1.1848,                0.73939,                0.58177,                0.66976,                0.46615,                  1.152,                 1.0628,                  1.179,               0.000604,               0.000604,               0.000604
                     82,                 1.0975,                 1.1124,                 1.1879,                 0.7409,                0.58127,                0.66984,                0.46612,                 1.1521,                  1.062,                  1.179,             0.00059905,             0.00059905,             0.00059905
                     83,                 1.0946,                 1.1016,                 1.1815,                0.73983,                0.58268,                0.66996,                0.46606,                 1.1522,                 1.0615,                 1.1791,              0.0005941,              0.0005941,              0.0005941
                     84,                 1.0954,                 1.0968,                 1.1797,                0.73364,                0.58721,                0.67038,                0.46615,                 1.1521,                 1.0611,                 1.1789,             0.00058915,             0.00058915,             0.00058915
                     85,                 1.0968,                 1.1003,                 1.1844,                0.72997,                0.59063,                0.67092,                0.46664,                 1.1522,                 1.0604,                 1.1787,              0.0005842,              0.0005842,              0.0005842
                     86,                  1.093,                 1.0956,                 1.1811,                 0.7277,                0.59215,                0.67136,                0.46709,                  1.152,                 1.0604,                 1.1784,             0.00057925,             0.00057925,             0.00057925
                     87,                 1.0967,                 1.0952,                   1.18,                 0.7272,                0.59212,                0.67158,                0.46699,                 1.1519,                   1.06,                 1.1783,              0.0005743,              0.0005743,              0.0005743
                     88,                 1.0882,                 1.0848,                 1.1771,                0.72788,                0.59173,                0.67168,                0.46721,                 1.1519,                 1.0595,                 1.1781,             0.00056935,             0.00056935,             0.00056935
                     89,                 1.0915,                 1.0873,                 1.1804,                0.72922,                 0.5924,                 0.6718,                0.46735,                 1.1516,                 1.0589,                 1.1779,              0.0005644,              0.0005644,              0.0005644
                     90,                 1.0934,                 1.0893,                 1.1809,                0.72931,                0.59287,                0.67213,                0.46785,                 1.1517,                 1.0584,                 1.1781,             0.00055945,             0.00055945,             0.00055945
